landslide_size,fatality_count,longitude,latitude
medium,0,43.39854621,41.83695379
small,0,75.37123,32.62803
medium,0,98.92090376,29.71492436
small,0,-116.6803679,46.59738913
medium,,92.94670614,25.15246863
large,6,92.2676503,21.87861504
medium,1,116.732231,24.725938
medium,0,93.18182448,24.30415689
medium,0,79.56163208,30.56504675
small,0,78.412784,31.581485
small,1,95.399897,26.88161
large,13,79.49231617,30.73315585
medium,4,67.458172,30.02715
medium,,75.23162006,33.63251807
small,0,-80.960781,37.335787
small,0,18.36915952,-34.06995509
small,0,74.66018578,13.90074546
medium,6,80.15402093,6.519724975
medium,0,70.56256,39.978954
medium,0,80.630002,29.60012
medium,0,-119.710017,37.72438031
medium,0,120.5927163,0.744821843
small,0,-105.3475523,40.43368578
small,0,-120.3239812,38.76361817
medium,0,123.2109112,9.309786719
medium,5,118.8014459,9.94928114
small,0,-119.1365358,53.98572214
small,0,-122.5511059,47.25158303
medium,3,91.8949662,23.86469956
medium,0,110.7318885,27.63630585
small,1,79.31958144,30.33597362
large,0,82.2896,29.48
small,0,-82.46374308,37.54560113
medium,0,79.451264,29.350849
small,0,103.0563058,26.74386788
medium,3,74.41606625,14.42827957
small,0,74.6246332,13.87803507
small,0,31.37246273,30.0283327
small,0,-113.9595385,46.29169767
medium,1,88.2667225,26.9653186
small,0,74.93828041,33.01739981
medium,2,92.16404889,22.59420297
small,0,-80.35294788,44.51447151
small,0,30.280797,-29.542639
small,0,-92.2696,44.451126
very_large,0,-121.4323838,35.86562803
unknown,0,-122.877,45.9951
large,18,92.15898865,22.65242372
large,0,78.301945,42.683128
small,0,76.932771,31.70779
small,0,-118.145399,48.51199102
small,0,75.12206351,32.94818322
small,0,-156.0424592,20.66353189
medium,0,-108.1852766,43.51364004
small,0,-81.743517,36.29586263
medium,0,76.99790295,30.86642127
small,0,105.1071076,8.828619884
small,0,-117.6696041,49.31947768
medium,0,105.0509254,8.774707564
medium,0,84.386742,28.301686
small,0,-82.65673522,37.46259713
medium,8,76.80054202,30.94222039
small,1,74.23352995,33.35149269
medium,,100.3934933,-0.899660812
small,1,120.6312641,16.36626096
unknown,0,-123.5552,44.624
large,0,-119.7486535,37.68040491
medium,2,91.91261915,22.80452414
large,50,91.97239273,22.44394492
medium,0,93.54235868,27.05909317
medium,0,83.86441477,28.28120123
small,,74.85970453,12.89674168
small,0,114.2092721,22.25721598
small,0,-123.3253398,43.29203902
small,0,-120.7220363,38.20150332
medium,0,104.9913709,8.757672854
small,0,101.7707724,3.013135465
medium,1,74.93530189,33.01346369
medium,0,121.8676602,24.54070891
unknown,0,-123.7784,44.6394
small,0,93.54136779,27.05880384
medium,,80.160486,6.586835
small,0,-112.9584172,37.2111985
small,0,-1.959208202,53.72832063
large,0,-122.2792711,51.97686189
medium,0,160.1781839,-9.632058442
small,0,-61.03728637,13.94370273
small,0,111.145575,37.513392
small,0,91.881892,25.907233
large,23,-74.19608968,18.52049393
medium,0,94.11844319,25.67061161
large,2,-65.46576609,-23.91300145
medium,0,-91.89697611,15.12277305
large,0,93.15020652,24.32420539
medium,0,-121.5287745,36.01490705
small,0,-112.122531,46.938003
medium,0,-80.73380758,40.00611531
small,0,-119.4860961,50.19859431
medium,2,92.16404889,22.59420297
medium,2,-96.40548584,16.08793756
medium,0,-5.672826814,56.87939325
medium,9,80.60687667,6.093508095
medium,4,76.89785918,8.558668245
large,2,73.86293399,34.56101506
medium,2,85.70071225,21.556137
medium,0,121.8676602,24.54070891
small,0,-105.363267,38.49307909
small,2,92.74744512,23.73354779
medium,0,87.67107225,27.33861278
small,0,74.66018578,13.90074546
medium,0,94.36416626,25.11956675
small,0,-119.3390619,46.24948002
small,0,-79.82932494,43.23493275
medium,0,72.67711817,41.60140744
small,0,-2.73575,50.700701
small,0,-122.7258149,45.51973384
medium,3,91.82931979,24.19467451
catastrophic,4,-53.20874578,71.53659933
large,18,92.15898865,22.65242372
small,0,76.93732121,31.72415448
small,0,-81.01035394,35.14803123
small,0,104.8707001,8.689622221
large,0,21.6242683,40.59525301
medium,0,87.67107225,27.33861278
small,0,114.4132965,29.04080591
large,0,7.61990403,46.28376389
medium,0,103.2768718,26.92110789
small,0,92.64204045,27.01145644
small,0,-79.96332756,40.3518191
medium,,100.3934933,-0.899660812
medium,0,121.418086,24.59383609
large,,0.117078316,50.76049237
small,0,110.5208594,1.54384065
small,0,11.737339,50.868738
large,0,67.81728309,39.52666359
small,0,74.16234114,15.68638494
small,0,106.6185846,-6.714382566
medium,6,80.23142734,6.50950401
small,,-83.50704109,35.72457989
small,0,18.18030889,42.62244921
medium,1,101.677787,3.185783
small,0,-80.89111591,37.35718266
small,0,114.04228,4.193408
small,0,-109.4327121,44.76558796
medium,0,80.49138664,6.260792736
medium,0,88.59676956,27.54295099
medium,1,73.51484236,34.78860948
small,0,25.29081852,54.68714771
very_large,0,12.132183,46.539613
small,0,78.06239076,32.23843313
medium,3,83.00633062,28.27909521
medium,0,103.8448574,22.33644964
small,0,73.022276,19.170539
small,,94.104931,25.660517
large,0,84.307977,28.107142
small,0,84.43754872,27.8077847
unknown,0,-120.1971,45.4563
medium,1,74.948082,33.029977
small,0,-61.521836,10.679445
small,0,100.31801,5.39558
small,0,84.00622259,28.21676766
large,0,120.732714,16.574445
medium,1,68.54795417,39.39506856
small,0,93.9310888,25.06657276
medium,0,100.2633923,5.396168592
small,2,85.219709,27.503555
small,0,129.7143555,33.79383585
small,0,-117.5532998,47.80539609
medium,1,51.250434,36.279188
very_large,0,-2.758021539,50.70838436
small,0,174.57834,-36.933713
small,1,78.401303,31.45206
medium,0,105.4547324,9.237362549
medium,0,77.52161234,32.30628994
large,46,80.38461313,6.702272807
medium,3,83.65247597,28.06986667
large,4,92.821182,24.768609
large,7,86.191717,28.007828
small,1,83.95706865,28.27254506
unknown,0,-122.6993,45.5159
medium,0,93.65975252,27.10647226
medium,0,74.41035052,14.52203442
medium,7,103.993894,22.039752
medium,0,93.60815652,27.08168565
medium,0,75.80813836,33.18477201
small,1,78.681379,30.922325
small,0,75.29750088,33.08146902
medium,1,6.807628202,44.32688636
small,0,100.331416,6.190195
small,0,76.95661041,43.09367409
small,0,0.389642,49.773429
small,0,100.309601,5.456131
small,0,78.0685005,32.26186432
small,0,78.06616409,32.24637329
medium,3,87.50256183,27.18732399
small,0,-122.2381187,47.96243163
small,0,-109.5739143,44.83733551
small,1,93.50995626,27.769793
medium,12,-91.43664048,15.64525862
small,0,-79.91459431,40.22230273
medium,0,92.71505961,23.73941422
small,0,81.811777,29.132062
large,0,72.73033802,41.03212867
large,38,80.18135876,6.518587251
small,1,83.97447829,28.24831087
medium,0,78.936314,30.995694
medium,0,93.61899644,27.04768643
medium,0,84.469745,27.767046
small,0,94.20340026,24.95178179
medium,0,69.52794225,39.81020345
small,0,91.87351723,26.10035658
large,5,112.0425655,28.15308814
medium,4,83.805661,27.943851
small,0,-1.797239,50.71962
small,1,106.791206,-6.589661
small,0,113.921806,22.225713
medium,0,-73.828592,41.058916
small,0,82.9415,28.239
medium,0,73.28423263,19.41286968
medium,0,-135.3213469,59.44688356
very_large,8,9.595744348,46.29694459
large,1,103.4843278,22.77117591
medium,1,105.3652962,26.78684394
medium,0,9.596416952,46.29691494
medium,,104.186014,27.98497238
medium,1,-118.5934545,37.0934625
small,0,91.79364785,26.14547804
small,0,-121.7041379,47.44775311
medium,0,0.8546,51.4216
medium,0,-120.7215,38.201
medium,0,74.4725,34.1587
unknown,0,-123.9539,44.4065
small,0,-116.9029,33.0742
medium,0,-92.2523,15.3482
medium,2,125.1335,7.7211
medium,0,-89.7739,13.7895
medium,1,99.7817,19.9282
medium,3,111.2768,23.4946
medium,0,-75.6621,4.8349
small,0,-84.4953,39.1075
medium,0,-76.4394,18.0083
unknown,0,-122.5279,44.1316
unknown,0,-122.4891,44.7573
unknown,0,-122.2336,44.7099
unknown,0,-123.8171,44.6677
unknown,0,-118.0283,45.6611
unknown,0,-122.1622,44.7362
unknown,0,-123.9488,45.4385
unknown,0,-123.5777,44.1579
medium,,73.8277,15.4014
unknown,0,-123.8923,45.5599
unknown,0,-123.7092,44.3695
medium,,-75.4267,-10.3838
medium,1,-3.5875,54.5494
medium,2,-42.6734,-22.0452
large,7,-42.53636205,-22.28234635
medium,,81.3333,29.0833
medium,0,-82.6276,38.6198
medium,,-117.6582,49.3265
unknown,0,-123.9669,43.6878
medium,0,123.97,10.37
small,0,-79.8375,40.6573
unknown,0,121.6979,14.2282
small,0,-117.6744,49.3729
unknown,0,120.8221,18.5875
medium,0,125.0725,11.5515
medium,0,124.7212,8.4406
small,0,-107.3446377,38.97831202
medium,0,75.2565,12.6771
large,32,71.5447,34.0051
large,,-42.5329,-22.2815
medium,0,86.5598,26.9597
very_large,15,124.868,1.4808
unknown,0,-122.4292,47.3174
small,0,-1.55,50.6723
medium,0,-71.4216,-12.9655
medium,0,-117.6865,47.8907
medium,16,-40.9044,-12.3546
medium,0,83.7508,28.5873
medium,0,16.6525,40.5452
medium,7,-70.4,-14
small,0,-93.0553,44.9459
medium,4,106.7732,-6.584
small,0,-122.3101,48.0079
small,0,-116.8721,33.9062
medium,0,132.7681,33.8426
medium,,125.4498,7.8098
unknown,0,-122.7002,45.5154
medium,0,-43.2212,-22.5232
medium,3,105.146,19.3465
small,0,-3.8666,52.6901
medium,3,89.4,22.5333
medium,,-121.6406,45.7153
medium,1,125.5339,9.1196
unknown,0,-122.0692,45.108
medium,0,80.1327,29.4085
small,,-118.0459,34.1742
small,,-77.2682,38.6009
medium,5,107.9326,26.6579
