fatalities,landslide1,latitude,longitude,class
5000,3,30.7351,79.0666,2
0,1,28.02,84.96,0
0,1,27.9639,84.8981,0
0,1,30.7331,79.0685,0
0,1,30.7331,79.0685,0
5,1,24.992,105.8107,1
0,1,-44.8454,168.1112,0
36,2,21.7684,92.3783,2
13,2,20.2947,98.9344,2
0,1,25.3433,92.2897,0
0,1,-38.8702,175.2785,0
0,1,27.2743,92.9064,0
0,1,31.587,78.315,0
7,1,29.4469,81.4867,1
0,1,24.9037,93.487,0
0,1,34.8142,74.3225,0
0,1,25.1604,93.6795,0
0,1,63.562,-149.6437,0
0,1,31.5699,78.2844,0
0,1,0.8734,36.0893,0
0,2,30.4297,97.1598,1
0,1,5.4164,118.1493,0
0,1,28.6167,82.6167,0
0,1,49.8785,-118.1103,0
7,1,-2.0398,-78.4359,1
0,1,-40.0582,176.8769,0
6,2,28.7956,82.2314,2
0,1,25.3612,92.2845,0
0,1,35.8777,-121.4336,0
0,1,24.8961,93.4957,0
15,1,25.4053,97.8542,2
0,0,51.0086,-116.4885,0
0,1,49.8748,-118.0732,0
13,2,30.6945,79.0544,2
5,1,27.35,87.6667,1
1,1,-6.3494,147.1646,1
0,1,-0.1193,-77.7668,0
0,1,26.5919,107.2351,0
2,0,4.9751,115.9243,1
0,0,-17.8045,177.9985,0
0,0,48.3486,-124.5316,0
6,2,33.532,109.8821,1
0,2,27.8776,94.25,1
5,1,38,71,1
0,1,24.9829,93.5063,0
0,1,24.9786,93.5027,0
0,1,25.2745,94.0212,0
0,1,30.688,79.0478,0
3,1,28.8687,82.1707,1
0,1,28.4115,84.7943,0
0,0,48.3438,-124.518,0
4,2,-6.3,147.6,1
1,1,28.4333,83.1202,1
