landslide_size,fatality_count,longitude,latitude,date,country_name,landslide_trigger,injuries,type
medium,1,-34.8813,-8.0543,7/16/2011 0:00,Brazil,downpour,,mudslide
medium,1,79.3318,30.4043,7/21/2011 0:00,India,rain,,landslide
medium,0,-103.7244,19.2444,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,-99.538,17.4974,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,84.54704621,27.83196401,7/3/2017 18:04,,rain,0,landslide
medium,0,-101.7023,19.5805,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,124.9705,10.6073,2/16/2012 0:00,Philippines,downpour,,landslide
small,0,-122.8001,49.0229,11/17/2009 0:00,Canada,downpour,,mudslide
medium,0,-104.8334,21.7595,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
small,0,-107.1291,39.4274,7/30/2011 0:00,united states,rain,,mudslide
small,0,-107.2225,39.4977,7/30/2011 0:00,united states,rain,,mudslide
medium,7,82.6474,28.3875,9/17/2011 9:00,Nepal,downpour,,landslide
large,0,94.514651,26.324724,9/5/2016 18:04,,rain,0,landslide
medium,0,123.89,10.37,2/14/2012 0:00,Philippines,downpour,,landslide
medium,0,123.91,10.42,2/14/2012 0:00,Philippines,downpour,,landslide
large,0,88.492,27.593,8/16/2016 19:22,,rain,0,landslide
large,0,-124.01,42.9744,5/2/2012 0:00,united states,downpour,,landslide
medium,0,77.1029,31.0226,9/18/2012 0:00,India,downpour,,landslide
large,20,88.556,27.8385,9/19/2012 0:00,India,downpour,,landslide
large,0,88.605,27.6558,9/19/2012 0:00,India,downpour,,landslide
medium,0,-0.9992,5.5779,10/19/2012 0:00,Ghana,downpour,,landslide
small,1,84.854632,27.769034,9/2/2016 18:04,,unknown,0,landslide
medium,0,-60.55,11.3169,12/25/2012 3:00,Trinidad and Tobago,rain,,landslide
medium,1,91.92597729,21.61900923,7/4/2017 14:33,,rain,0,landslide
medium,0,-79.8897,9.3381,5/28/2013 0:00,Panama,downpour,,landslide
medium,0,-79.9029,9.3581,5/28/2013 0:00,Panama,downpour,,landslide
medium,0,78.3881,30.4954,6/16/2013 0:00,India,rain,,landslide
medium,0,78.6695,30.885,6/16/2013 0:00,India,rain,,landslide
medium,0,80.417,29.7986,6/16/2013 0:00,India,rain,,landslide
small,0,-85.97897289,36.27009466,5/30/2017 13:34,,rain,0,rock_fall
medium,0,-116.9044,50.0023,6/19/2013 0:00,Canada,downpour,,mudslide
large,0,94.257523,26.092493,9/5/2016 18:04,,rain,0,landslide
medium,0,77.5947,10.9628,6/25/2013 8:00,India,downpour,,landslide
medium,0,77.5947,10.9628,6/25/2013 8:00,India,downpour,,landslide
medium,0,82.1847,28.4311,7/14/2013 0:00,Nepal,unknown,,landslide
medium,0,93.9413,25.7658,7/17/2013 0:00,India,rain,,mudslide
medium,0,82.4393,28.6202,7/14/2013 0:00,Nepal,unknown,,landslide
medium,0,94.0885,25.7131,7/17/2013 0:00,India,rain,,mudslide
medium,0,123.888,10.329,7/21/2013 0:00,Philippines,rain,,landslide
large,33,91.83258101,22.35037081,6/13/2017 15:17,,continuous_rain,0,landslide
medium,1,12.3966,47.446,10/9/2013 0:00,Austria,rain,1,landslide
medium,0,-117.0898,32.5196,5/17/2015 0:00,mexico,rain,0,landslide
large,0,112.61191,-8.034706,9/10/2016 18:52,,downpour,0,landslide
large,4,84.069015,28.145796,9/6/2016 18:52,,rain,2,landslide
medium,0,106.7121322,-6.522155904,6/30/2017 16:00,,continuous_rain,0,landslide
small,0,94.24416766,26.1445447,7/1/2017 16:00,,downpour,0,landslide
medium,1,92.10434768,21.23699085,7/5/2017 19:39,,continuous_rain,,landslide
medium,1,91.87202793,26.20450454,7/3/2017 15:17,,continuous_rain,0,landslide
medium,0,-72.34106092,43.65859938,7/1/2017 14:33,,downpour,0,debris_flow
large,0,13.787332,46.726906,9/4/2016 18:04,,dam_embankment_collapse,0,landslide
small,0,92.03513581,22.77997113,7/2/2017 15:17,,continuous_rain,0,landslide
small,0,-112.9476039,37.29584217,7/4/2017 16:00,,no_apparent_trigger,1,rock_fall
large,4,87.640957,27.513641,9/2/2016 18:04,,rain,10,landslide
small,0,94.12901274,25.4976444,7/4/2017 16:00,,continuous_rain,0,landslide
unknown,2,-100.3120723,17.85175828,6/12/2017 17:43,,unknown,1,mudslide
medium,2,105.4244893,23.16100191,7/3/2017 14:33,,downpour,0,landslide
large,0,85.201673,27.833565,9/4/2016 4:00,,downpour,0,landslide
medium,2,87.055222,27.167781,7/3/2017 18:04,,,,landslide
medium,1,91.92053028,26.22247247,7/3/2017 16:00,,continuous_rain,0,landslide
medium,0,83.498645,28.377188,9/4/2016 18:04,,rain,0,landslide
small,0,91.85158907,26.1061808,7/3/2017 14:33,,downpour,0,landslide
small,0,91.86227824,26.10430759,7/3/2017 14:33,,downpour,0,landslide
large,105,92.22099982,22.74955141,6/13/2017 15:17,,continuous_rain,0,landslide
small,0,105.1593663,22.77992936,7/3/2017 14:33,,downpour,0,landslide
large,11,-90.604924,14.521881,9/7/2016 18:04,,rain,0,landslide
small,0,-80.00630324,40.24298211,6/29/2017 14:33,,no_apparent_trigger,0,landslide
medium,2,91.91261915,22.80452414,6/13/2017 18:48,,downpour,,landslide
medium,2,3.351692,6.60222,9/6/2016 18:04,,rain,0,mudslide
large,4,77.109719,31.956546,9/2/2016 18:04,,unknown,5,landslide
small,3,71.398496,34.525881,9/8/2016 18:04,,rain,0,landslide
small,0,85.91050294,27.90362599,7/2/2017 19:39,,rain,0,landslide
medium,0,94.21263589,27.98531715,7/4/2017 19:39,,rain,0,landslide
small,0,94.24222574,26.11613908,7/1/2017 16:00,,continuous_rain,0,landslide
small,0,-72.44447441,43.10590179,6/19/2017 19:39,,downpour,0,mudslide
small,0,175.2344014,-36.95665535,7/1/2017 16:00,,downpour,0,landslide
medium,1,92.17584376,21.42181705,7/5/2017 19:39,,continuous_rain,1,landslide
small,0,94.26296826,27.97875751,7/4/2017 19:39,,rain,0,landslide
medium,0,123.821113,10.283626,9/8/2016 18:04,,rain,0,landslide
medium,2,92.21525816,21.04270451,6/14/2017 18:48,,downpour,,landslide
medium,0,88.29518925,26.90298048,7/5/2017 16:00,,continuous_rain,0,landslide
,0,85.143062,27.878121,7/5/2017 18:52,,,,landslide
large,0,92.87641207,23.69461107,6/28/2017 16:00,,other,0,landslide
small,0,-61.54264771,10.68399129,7/4/2017 16:00,,continuous_rain,0,landslide
medium,0,106.78629,-6.558993431,7/1/2017 16:00,,continuous_rain,0,landslide
large,0,108.5421686,28.54909078,7/2/2017 16:00,,continuous_rain,,landslide
medium,0,167.940244,-44.675943,7/3/2017 18:04,,rain,0,landslide
very_large,0,-109.4847675,43.21843612,7/5/2017 19:39,,no_apparent_trigger,0,landslide
medium,0,94.55427723,26.3312531,7/1/2017 16:00,,downpour,0,landslide
medium,0,88.25902123,27.02149311,7/6/2017 19:39,,continuous_rain,0,landslide
small,1,83.567989,28.372874,8/16/2016 12:40,,rain,0,landslide
medium,0,75.19605556,38.74738889,6/25/2017 13:10,,rain,0,mudslide
small,0,-2.345003962,52.1104766,6/13/2017 13:27,,unknown,0,landslide
medium,0,120.595832,16.404676,8/15/2016 12:40,,continuous_rain,0,mudslide
medium,6,3.381341033,6.622961187,6/19/2017 20:14,,rain,1,mudslide
small,0,-105.4129317,38.48258714,6/1/2017 13:34,,unknown,0,rock_fall
small,0,-111.6038025,39.12221676,5/15/2017 13:34,,unknown,0,landslide
small,0,18.18030889,42.62244921,6/5/2017 13:20,,leaking_pipe,0,landslide
medium,0,37.559988,-0.58474,5/20/2017 20:14,,rain,0,mudslide
medium,0,96.82040086,17.06998518,5/19/2017 13:15,,rain,,riverbank_collapse
medium,0,-83.02836628,36.50129467,5/13/2017 14:21,,unknown,0,rock_fall
small,0,-103.7798821,44.3517732,5/16/2017 13:15,,rain,0,landslide
medium,0,94.29816252,23.19807165,6/5/2017 13:34,,unknown,0,rock_fall
small,0,-111.678278,40.61990972,5/17/2017 18:48,,unknown,0,landslide
small,0,-81.6651904,38.37512397,6/5/2017 13:34,,unknown,0,rock_fall
small,1,93.6146564,27.06992579,6/19/2017 13:15,,unknown,,landslide
large,0,85.01,28.069957,8/14/2016 12:40,,rain,0,landslide
small,0,41.98700247,45.08144863,5/29/2017 13:34,,rain,0,landslide
small,0,-117.226052,47.67463292,6/1/2017 13:34,,rain,0,landslide
small,0,75.46743478,34.27703802,6/5/2017 13:34,,rain,0,landslide
small,0,-121.6697643,37.74061109,5/31/2017 13:34,,unknown,0,landslide
medium,0,-122.8035956,43.20953132,6/27/2017 13:20,,unknown,0,rock_fall
medium,6,80.26097734,16.28332586,5/27/2017 13:34,,rain,1,landslide
small,0,-105.4935275,38.45256863,5/19/2017 20:14,,unknown,0,rock_fall
medium,0,72.45209341,41.25565464,6/29/2017 13:20,,rain,0,mudslide
small,0,-111.5601178,39.13679306,5/24/2017 20:14,,unknown,0,landslide
small,1,80.237218,30.070512,8/10/2016 19:22,,continuous_rain,0,landslide
small,0,-2.48863,53.702353,8/17/2016 12:40,,construction,0,landslide
very_large,0,106.801076,-6.311708,8/19/2016 17:15,,downpour,0,mudslide
medium,0,93.20266204,24.21988831,6/26/2017 13:20,,downpour,0,landslide
small,0,121.7334279,24.89456743,5/28/2017 13:34,,rain,0,rock_fall
small,2,86.1804,27.6835,8/9/2016 13:37,,rain,1,landslide
medium,8,-100.6903727,17.1523721,6/10/2017 13:27,,rain,,mudslide
small,0,-111.650935,40.48808507,5/12/2017 13:28,,rain,0,mudslide
small,0,76.8694278,11.34165808,6/1/2017 13:34,,rain,0,landslide
large,0,71.27547914,39.19779968,5/28/2017 13:34,,snowfall_snowmelt,0,mudslide
small,0,93.61589869,22.65620215,5/29/2017 13:34,,continuous_rain,0,landslide
medium,0,43.39854621,41.83695379,5/20/2017 20:14,,other,0,landslide
small,0,75.37123,32.62803,6/21/2017 18:51,,rain,0,landslide
medium,0,98.92090376,29.71492436,6/24/2017 13:10,,rain,0,landslide
small,0,-116.6803679,46.59738913,5/29/2017 13:34,,unknown,0,landslide
medium,0,92.94670614,25.15246863,6/4/2017 13:34,,continuous_rain,,landslide
large,6,92.2676503,21.87861504,6/13/2017 18:48,,downpour,0,landslide
medium,1,116.732231,24.725938,8/13/2016 19:22,,continuous_rain,22,landslide
medium,0,93.18182448,24.30415689,6/27/2017 13:20,,downpour,0,landslide
medium,0,79.56163208,30.56504675,5/20/2017 20:14,,unknown,0,landslide
small,0,78.412784,31.581485,8/15/2016 19:22,,rain,0,landslide
small,1,95.399897,26.88161,8/16/2016 12:40,,other,0,landslide
large,13,79.49231617,30.73315585,5/20/2017 20:14,,rain,,landslide
medium,4,67.458172,30.02715,5/24/2017 20:14,,mining,15,landslide
medium,0,75.23162006,33.63251807,6/21/2017 13:15,,downpour,,landslide
small,0,-80.960781,37.335787,5/22/2017 20:14,,unknown,0,rock_fall
small,0,18.36915952,-34.06995509,6/19/2017 13:15,,rain,0,rock_fall
small,0,74.66018578,13.90074546,6/12/2017 13:27,,rain,0,landslide
medium,6,80.15402093,6.519724975,5/25/2017 20:14,,unknown,,landslide
medium,0,70.56256,39.978954,8/18/2016 12:40,,rain,0,mudslide
medium,0,80.630002,29.60012,6/29/2017 13:37,,rain,0,landslide
medium,0,-119.710017,37.72438031,6/12/2017 18:03,,unknown,0,rock_fall
medium,0,120.5927163,0.744821843,6/13/2017 13:27,,rain,0,landslide
small,0,-105.3475523,40.43368578,5/21/2017 20:14,,unknown,0,rock_fall
small,0,-120.3239812,38.76361817,6/8/2017 13:27,,rain,0,landslide
medium,0,123.2109112,9.309786719,5/24/2017 20:14,,continuous_rain,0,landslide
medium,5,118.8014459,9.94928114,5/28/2017 13:34,,rain,0,landslide
small,0,-119.1365358,53.98572214,6/9/2017 13:27,,rain,0,mudslide
small,0,-122.5511059,47.25158303,5/28/2017 13:34,,unknown,0,landslide
medium,3,91.8949662,23.86469956,6/3/2017 13:20,,continuous_rain,1,landslide
medium,0,110.7318885,27.63630585,5/23/2017 20:14,,rain,5,mudslide
small,1,79.31958144,30.33597362,6/6/2017 13:27,,rain,1,landslide
large,0,82.2896,29.48,8/9/2016 13:37,,flooding,0,landslide
small,0,-82.46374308,37.54560113,5/29/2017 13:34,,unknown,0,rock_fall
medium,0,79.451264,29.350849,8/16/2016 12:40,,rain,0,landslide
small,0,103.0563058,26.74386788,6/30/2017 13:20,,downpour,0,landslide
medium,3,74.41606625,14.42827957,6/11/2017 13:27,,rain,7,landslide
small,0,74.6246332,13.87803507,6/12/2017 13:27,,rain,0,landslide
small,0,31.37246273,30.0283327,6/2/2017 4:00,,unknown,0,landslide
small,0,-113.9595385,46.29169767,6/21/2017 13:15,,unknown,0,landslide
medium,1,88.2667225,26.9653186,6/5/2017 13:34,,rain,2,landslide
small,0,74.93828041,33.01739981,6/21/2017 13:15,,rain,0,landslide
medium,2,92.16404889,22.59420297,6/12/2017 13:27,,rain,,landslide
small,0,-80.35294788,44.51447151,6/18/2017 13:15,,downpour,0,landslide
small,0,30.280797,-29.542639,10/31/2016 14:24,,leaking_pipe,0,mudslide
small,0,-92.2696,44.451126,8/11/2016 19:22,,flooding,0,landslide
very_large,0,-121.4323838,35.86562803,5/20/2017 13:34,,rain,0,landslide
unknown,0,-122.877,45.9951,1/23/2016 14:31,united states,unknown,0,landslide
large,18,92.15898865,22.65242372,6/13/2017 18:48,,downpour,,landslide
large,0,78.301945,42.683128,8/16/2016 12:40,,rain,0,mudslide
small,0,76.932771,31.70779,8/9/2016 19:22,,downpour,1,landslide
small,0,-118.145399,48.51199102,5/19/2017 20:14,,rain,0,mudslide
small,0,75.12206351,32.94818322,6/21/2017 18:51,,rain,0,rock_fall
small,0,-156.0424592,20.66353189,1/3/2017 14:34,,rain,1,rock_fall
medium,0,-108.1852766,43.51364004,5/19/2017 20:14,,rain,0,rock_fall
small,0,-81.743517,36.29586263,6/24/2017 20:14,,rain,0,landslide
medium,0,76.99790295,30.86642127,6/29/2017 13:20,,monsoon,0,landslide
small,0,105.1071076,8.828619884,6/28/2017 13:10,,downpour,0,landslide
small,0,-117.6696041,49.31947768,5/26/2017 13:34,,flooding,0,mudslide
medium,0,105.0509254,8.774707564,6/28/2017 13:10,,downpour,0,landslide
medium,0,84.386742,28.301686,6/30/2017 17:15,,flooding,0,landslide
small,0,-82.65673522,37.46259713,5/23/2017 20:14,,continuous_rain,0,landslide
medium,8,76.80054202,30.94222039,6/7/2017 13:27,,rain,9,landslide
small,1,74.23352995,33.35149269,6/8/2017 13:27,,unknown,2,landslide
medium,0,100.3934933,-0.899660812,5/30/2017 13:34,,flooding,,landslide
small,1,120.6312641,16.36626096,5/24/2017 20:14,,rain,2,landslide
unknown,0,-123.5552,44.624,2/14/2016 7:53,united states,unknown,0,landslide
large,0,-119.7486535,37.68040491,6/12/2017 12:00,,unknown,0,landslide
medium,2,91.91261915,22.80452414,6/13/2017 18:48,,downpour,,landslide
large,50,91.97239273,22.44394492,6/13/2017 18:48,,downpour,,landslide
medium,0,93.54235868,27.05909317,6/4/2017 13:34,,unknown,0,landslide
medium,0,83.86441477,28.28120123,6/27/2017 13:10,,continuous_rain,1,landslide
small,0,74.85970453,12.89674168,6/12/2017 13:27,,rain,,landslide
small,0,114.2092721,22.25721598,6/13/2017 13:27,,tropical_cyclone,0,landslide
small,0,-123.3253398,43.29203902,6/5/2017 13:34,,unknown,0,landslide
small,0,-120.7220363,38.20150332,6/27/2017 13:20,,unknown,0,landslide
medium,0,104.9913709,8.757672854,5/30/2017 13:34,,unknown,0,riverbank_collapse
small,0,101.7707724,3.013135465,5/25/2017 18:48,,rain,0,landslide
